vibration_rms,temperature,sound_level,maintenance_days,wheel_health,bearing_health,failure
0.581,70.2,72.7,141,47,47,1
0.384,54.9,65.2,84,63,68,0
0.393,52.6,66.9,51,64,71,0
0.757,84.0,97.3,221,19,27,1
0.546,66.0,77.7,105,47,53,1
0.324,56.2,52.1,70,75,70,0
0.274,49.6,57.8,72,73,76,0
0.346,43.1,55.9,52,73,78,0
0.441,67.1,71.4,129,54,56,0
0.3,44.7,48.1,52,80,79,0
0.322,44.1,60.5,79,69,77,0
0.442,67.9,83.5,186,43,52,1
0.648,74.0,84.0,171,35,41,1
0.259,36.8,58.7,18,76,88,0
0.279,44.1,47.1,62,81,80,0
0.302,42.1,63.4,83,68,79,0
0.877,94.5,99.6,331,7,10,1
0.329,46.3,69.7,85,62,75,0
0.486,68.2,84.1,102,46,55,1
0.252,58.4,63.3,19,73,74,0
0.352,51.8,69.2,22,65,74,0
0.262,51.0,60.1,26,75,78,0
0.231,41.1,57.8,2,79,87,0
0.675,76.1,84.6,103,38,42,1
0.589,64.6,80.1,183,40,48,1
0.277,40.3,53.2,87,75,81,0
0.614,73.9,77.3,157,42,43,1
0.27,37.9,69.2,52,67,85,0
0.307,42.4,63.0,63,69,80,0
0.405,70.4,78.9,119,51,56,0
0.383,58.8,60.9,81,66,66,0
0.58,75.0,74.7,187,43,42,1
0.602,71.9,74.0,114,47,47,1
0.218,40.9,43.2,19,88,87,0
0.33,37.2,61.0,83,68,81,0
0.362,44.2,40.0,83,81,75,0
0.344,37.7,46.6,39,80,82,0
0.209,52.8,56.3,40,79,78,0
0.635,64.5,71.9,133,46,49,1
0.538,78.3,84.2,114,43,46,1
0.358,42.2,51.8,16,77,80,0
0.889,91.0,98.3,323,8,12,1
0.22,39.7,61.7,57,74,85,0
0.342,51.8,50.6,65,76,72,0
0.683,64.0,84.5,99,38,49,1
0.366,54.3,64.0,77,65,69,0
0.316,45.5,40.9,58,84,78,0
0.362,39.4,48.7,44,77,80,0
0.226,47.9,52.5,16,82,82,0
0.383,40.5,49.0,89,74,76,0
0.21,56.6,43.3,48,87,76,0
0.488,69.9,80.9,102,48,53,1
0.247,45.4,68.7,28,69,82,0
0.223,53.5,67.7,74,69,76,0
0.34,43.9,57.7,0,75,81,0
0.539,73.1,75.0,147,47,47,1
0.888,82.8,91.9,222,18,23,1
0.417,64.0,84.7,133,46,58,1
0.543,72.2,71.9,124,50,49,1
0.37,54.2,65.3,11,68,73,0
0.353,35.6,56.2,51,72,83,0
0.354,39.5,50.4,28,77,82,0
0.577,68.7,74.1,181,44,46,1
0.6,70.4,83.9,118,40,48,1
0.331,50.5,44.7,48,81,75,0
0.313,53.2,58.6,65,72,73,0
0.312,45.3,69.8,51,65,78,0
0.736,88.8,99.8,277,16,22,1
0.365,48.5,44.8,62,79,74,0
0.588,60.8,72.2,198,44,50,1
0.571,72.7,82.4,150,41,46,1
0.268,42.1,63.9,34,71,83,0
0.205,56.5,45.4,75,84,74,0
0.21,39.1,64.0,7,75,89,0
0.317,41.7,42.9,85,81,79,0
0.548,75.1,84.5,175,39,44,1
0.284,58.5,42.6,61,84,71,0
0.213,36.7,49.9,57,82,87,0
0.332,50.6,61.2,11,72,77,0
0.264,44.4,43.3,42,85,81,0
0.468,61.8,74.1,181,49,55,1
0.387,35.9,60.1,32,69,82,0
0.236,39.8,55.1,43,78,85,0
0.501,71.7,80.3,112,47,51,1
0.331,41.5,57.1,15,75,82,0
0.262,42.5,64.8,1,73,85,0
0.376,48.3,67.4,13,66,76,0
0.274,57.8,42.8,85,83,70,0
0.612,72.2,84.8,177,36,43,1
0.309,46.6,54.8,10,77,80,0
0.239,39.3,69.2,38,69,86,0
0.492,78.7,77.9,147,47,45,1
0.265,42.0,41.5,4,88,85,0
0.378,45.7,69.4,29,64,77,0
0.336,57.5,47.7,88,77,68,0
0.266,52.8,56.5,7,78,78,0
0.227,46.6,44.6,66,84,80,0
0.565,78.0,83.8,98,43,46,1
0.678,62.5,79.7,109,40,50,1
0.883,89.0,96.3,271,12,17,1
0.361,53.3,68.8,87,62,70,0
0.378,40.8,58.3,82,68,77,0
0.263,40.1,42.2,47,85,84,0
0.403,61.8,73.6,134,54,60,0
0.613,75.6,71.4,128,47,43,1
0.371,55.3,65.3,77,64,68,0
0.21,40.6,65.4,18,74,87,0
0.342,55.9,49.0,88,75,69,0
0.29,52.0,42.0,45,85,75,0
0.388,53.5,50.3,47,75,71,0
0.594,78.9,83.3,150,39,41,1
0.295,50.3,57.8,77,72,75,0
0.978,82.5,86.1,308,13,15,1
0.428,65.0,71.6,182,52,54,0
0.393,52.5,53.3,22,74,72,0
0.274,57.0,42.9,79,83,71,0
0.678,66.4,73.0,186,41,43,1
0.204,39.6,52.1,20,83,88,0
0.454,64.1,75.6,145,50,56,0
0.324,59.6,60.9,89,68,67,0
0.254,35.3,62.1,20,74,89,0
0.953,81.0,97.1,339,5,15,1
0.468,63.4,70.9,144,53,56,0
0.263,58.8,53.6,42,78,73,0
0.423,61.3,77.1,143,51,59,0
0.653,60.3,76.9,145,41,50,1
0.554,70.2,73.8,153,47,48,1
0.573,66.3,76.0,178,43,48,1
0.809,100.0,93.5,218,20,16,1
0.248,39.8,42.8,46,86,85,0
0.425,61.6,76.5,171,49,57,1
0.248,45.8,48.4,88,80,79,0
0.583,68.6,73.5,135,47,49,1
0.287,52.9,49.7,26,81,76,0
0.419,76.6,73.8,102,55,52,0
0.299,48.4,46.7,5,83,80,0
0.338,38.5,40.1,1,86,84,0
0.366,59.1,57.7,53,71,68,0
0.496,66.9,83.5,109,45,55,1
0.236,51.1,52.1,59,79,77,0
0.209,57.2,57.4,39,78,76,0
0.586,77.5,76.8,102,46,45,1
0.373,54.6,66.6,4,67,73,0
0.251,45.7,48.6,27,83,82,0
0.69,73.6,74.9,191,39,38,1
0.334,55.9,51.3,65,76,70,0
0.415,68.9,75.0,114,54,56,0
0.843,96.5,95.2,250,16,15,1
0.604,75.1,83.0,187,37,41,1
0.643,67.4,80.2,158,39,46,1
0.364,47.6,51.7,68,74,74,0
0.342,39.5,63.9,41,68,81,0
0.511,60.8,77.3,100,49,58,1
0.629,64.4,78.2,100,44,51,1
0.873,94.3,93.4,235,17,16,1
0.289,46.9,60.7,11,74,81,0
0.381,40.8,51.7,33,75,79,0
0.697,73.6,71.8,156,42,40,1
0.302,46.3,48.2,16,82,80,0
0.249,54.3,54.2,72,77,74,0
0.367,44.4,67.3,83,63,75,0
0.603,76.0,70.4,109,50,45,1
0.45,63.7,73.8,191,49,54,1
0.689,78.3,82.4,173,35,36,1
0.314,41.6,47.4,2,82,83,0
0.369,39.6,43.7,39,81,80,0
0.947,88.4,90.6,340,10,11,1
0.245,41.6,56.2,45,77,84,0
0.467,66.4,80.1,160,46,53,1
0.637,71.2,70.1,158,46,44,1
0.238,58.7,51.0,2,83,76,0
0.614,60.9,71.5,136,47,52,1
0.555,70.9,75.4,144,46,48,1
0.529,67.9,74.2,196,45,48,1
0.206,59.2,65.1,2,75,77,0
0.352,58.1,59.2,48,70,69,0
0.37,52.8,68.5,5,66,74,0
0.234,41.2,47.7,60,82,84,0
0.8,82.2,89.5,260,21,25,1
0.862,97.6,95.0,267,14,12,1
0.222,57.5,53.9,77,78,73,0
0.388,56.1,40.3,46,82,69,0
0.297,42.4,64.5,80,67,79,0
0.968,83.1,94.2,217,13,20,1
0.787,83.0,95.3,323,14,21,1
0.534,73.8,79.8,177,42,45,1
0.386,50.0,41.0,41,82,73,0
0.234,38.5,47.2,1,86,88,0
0.37,38.4,41.9,20,83,82,0
0.37,52.8,42.9,39,81,72,0
0.319,49.0,45.0,5,84,78,0
0.416,79.9,71.1,160,54,47,1
0.255,51.7,46.1,67,82,76,0
0.595,70.5,71.2,162,47,46,1
0.301,56.9,57.5,24,75,73,0
0.353,52.1,57.5,35,72,73,0
0.267,37.7,61.3,66,72,84,0
0.308,55.0,58.5,42,73,73,0
0.679,63.6,76.6,157,40,47,1
0.287,48.4,56.4,28,76,79,0
0.255,37.0,53.6,18,80,88,0
0.334,55.3,65.9,29,68,73,0
0.29,54.1,58.7,37,74,75,0
0.653,69.8,84.5,105,38,47,1
0.301,36.5,54.6,23,77,86,0
0.232,46.4,60.4,86,72,79,0
0.757,97.1,90.2,348,17,12,1
0.39,43.8,66.5,18,66,78,0
0.259,54.5,48.5,39,82,76,0
0.988,89.6,85.0,247,17,13,1
0.665,60.6,76.6,181,39,48,1
0.683,79.3,79.2,193,36,35,1
0.557,72.7,73.9,179,45,45,1
0.673,77.8,83.8,130,37,40,1
0.548,63.6,84.0,143,41,53,1
0.311,50.8,66.7,56,67,75,0
0.268,39.7,61.3,18,74,85,0
0.634,73.3,76.2,107,45,45,1
0.241,39.5,58.1,61,75,84,0
0.391,52.8,58.5,40,70,71,0
0.338,46.3,56.2,32,74,78,0
0.894,95.0,93.6,296,12,11,1
0.314,45.4,53.5,51,76,78,0
0.383,55.8,67.4,84,62,67,0
0.375,40.0,42.3,77,79,78,0
0.307,51.6,50.8,38,78,75,0
0.715,86.1,90.3,212,26,28,1
0.208,58.1,62.7,12,76,77,0
0.536,77.2,78.1,100,48,47,1
0.922,92.0,89.4,314,13,11,1
0.285,43.1,68.2,71,66,80,0
0.368,58.9,40.9,39,83,68,0
0.39,38.2,64.6,38,66,80,0
0.276,37.0,41.5,87,83,83,0
0.488,65.9,74.1,92,53,56,0
0.679,76.1,70.8,184,42,37,1
0.302,42.4,52.5,46,77,81,0
0.372,52.5,60.6,50,69,72,0
0.497,62.2,71.0,143,52,56,0
0.546,67.2,71.1,147,49,50,1
0.225,41.6,58.7,15,78,86,0
0.437,76.4,77.9,104,52,51,0
0.386,59.4,69.6,17,64,69,0
0.303,49.4,59.6,73,71,75,0
0.388,40.2,51.6,80,72,77,0
0.939,95.4,97.6,258,10,11,1
0.314,55.4,64.8,1,71,75,0
0.364,43.4,59.9,66,69,77,0
0.365,56.4,40.7,82,80,68,0
0.281,46.0,64.2,26,71,81,0
0.229,41.2,57.1,59,76,84,0
0.513,72.7,77.1,110,49,50,1
0.674,60.1,72.7,145,43,50,1
0.348,46.2,48.1,48,78,77,0
0.211,50.4,44.7,50,86,79,0
0.21,36.4,52.4,68,80,87,0
0.757,85.6,92.0,336,17,20,1
0.666,75.9,81.8,189,35,38,1
0.42,74.2,74.2,95,55,54,0
0.313,59.5,58.2,19,74,71,0
0.387,45.1,46.2,55,77,75,0
0.371,42.6,47.3,31,79,79,0
0.609,73.2,76.9,175,41,43,1
0.371,37.0,61.0,31,69,82,0
0.257,54.1,51.9,61,78,75,0
0.255,52.0,45.8,83,81,75,0
0.321,37.7,69.7,41,65,83,0
0.382,59.2,60.7,55,68,67,0
0.386,56.0,61.0,74,67,68,0
0.346,44.1,62.9,86,66,76,0
0.231,46.4,65.5,60,70,80,0
0.218,51.3,67.7,89,68,76,0
0.31,41.7,60.0,79,70,79,0
0.24,38.4,44.5,33,86,86,0
0.913,89.6,86.2,204,21,19,1
0.301,40.4,48.4,48,80,82,0
0.218,47.0,48.9,28,84,82,0
0.218,38.5,46.4,66,83,86,0
0.326,56.1,41.0,5,86,74,0
0.664,71.6,79.6,183,37,41,1
0.651,74.4,78.7,196,37,39,1
0.203,35.2,65.8,70,71,88,0
0.713,93.9,87.7,296,23,19,1
0.617,70.6,75.3,125,45,47,1
0.463,62.4,77.2,178,47,55,1
0.455,74.9,77.6,139,49,50,1
0.327,51.9,46.8,31,81,75,0
0.537,78.7,82.9,199,39,41,1
0.362,50.4,69.7,44,63,74,0
0.374,50.9,48.4,55,76,72,0
0.498,77.2,73.9,135,50,47,1
0.533,66.7,71.0,196,47,48,1
0.536,64.7,82.7,161,41,51,1
0.394,42.0,47.4,34,77,78,0
0.284,51.0,53.5,12,79,78,0
0.308,52.7,40.9,46,85,74,0
0.248,37.7,44.2,4,87,88,0
0.682,72.1,72.9,161,42,41,1
0.331,56.7,53.4,34,76,72,0
0.559,69.3,73.4,193,45,46,1
0.243,49.0,58.7,79,73,77,0
0.349,40.6,42.9,6,84,82,0
0.375,44.7,45.1,2,81,79,0
0.434,71.6,78.7,91,52,55,0
0.847,88.1,87.0,219,23,21,1
0.316,37.2,44.8,59,81,83,0
0.448,64.7,77.2,126,50,57,0
0.316,42.6,52.6,14,78,82,0
0.407,74.7,72.9,113,56,53,0
0.221,60.0,67.6,82,68,71,0
0.448,75.8,81.6,133,47,50,1
0.224,38.1,66.5,86,69,84,0
0.214,44.8,63.6,77,72,81,0
0.548,67.0,79.3,133,45,51,1
0.834,90.0,87.6,331,17,15,1
0.313,47.6,44.4,2,84,80,0
0.347,49.5,63.9,15,69,76,0
0.69,65.9,73.6,166,41,44,1
0.345,47.6,46.9,67,78,75,0
0.346,39.7,67.5,76,64,79,0
0.219,36.7,60.3,43,75,88,0
0.389,57.0,55.0,27,73,69,0
0.631,60.7,76.3,104,45,53,1
0.459,68.1,79.3,177,46,52,1
0.235,46.8,52.3,47,80,81,0
0.629,72.1,81.5,121,41,45,1
0.485,64.6,75.6,154,48,54,1
0.206,58.9,49.5,59,82,74,0
0.932,93.3,98.8,256,10,13,1
0.22,40.4,56.1,62,77,84,0
0.333,36.1,48.2,54,78,83,0
0.588,78.2,80.6,128,42,43,1
0.503,78.4,80.9,198,42,42,1
0.43,62.5,75.3,100,54,60,0
0.572,69.4,84.5,117,41,50,1
0.205,42.6,50.3,22,84,86,0
0.278,39.9,59.3,82,72,81,0
0.284,44.5,47.9,87,79,78,0
0.393,54.5,62.7,56,66,69,0
0.392,50.4,47.0,58,76,72,0
0.571,64.2,81.8,199,38,48,1
0.302,48.1,54.7,51,75,77,0
0.243,54.4,65.4,26,72,77,0
0.288,47.1,45.7,49,82,78,0
0.248,41.1,47.0,89,81,81,0
0.354,51.6,40.4,87,81,71,0
0.54,72.0,82.9,177,40,46,1
0.397,45.5,62.2,87,65,73,0
0.336,50.5,45.3,40,81,75,0
0.523,72.9,77.2,99,49,50,1
0.389,41.2,69.8,85,60,76,0
0.641,62.3,81.1,126,40,51,1
0.627,78.1,74.7,141,44,41,1
0.349,59.4,61.0,83,68,66,0
0.221,37.7,46.8,42,84,87,0
0.373,46.7,58.1,20,72,77,0
0.78,87.4,93.2,348,14,17,1
0.681,60.1,78.1,134,40,50,1
0.317,35.4,41.0,29,85,85,0
0.854,94.5,88.0,283,18,14,1
0.666,64.9,80.2,141,39,47,1
0.239,43.6,62.3,14,75,84,0
0.226,51.1,55.0,39,79,79,0
0.396,54.0,52.4,74,72,68,0
0.388,53.4,42.2,82,78,69,0
0.358,47.0,44.4,24,81,77,0
0.411,79.6,72.1,113,56,50,0
0.388,39.0,63.1,67,65,78,0
0.317,36.7,44.0,31,83,85,0
0.212,40.7,52.4,9,83,88,0
0.37,55.6,58.5,56,70,69,0
0.236,38.0,51.7,89,78,84,0
0.515,62.4,83.6,139,43,55,1
0.208,44.6,57.7,5,80,85,0
0.31,35.4,61.5,60,70,84,0
0.841,94.7,88.8,273,19,15,1
0.511,68.9,82.5,184,41,49,1
0.311,53.3,41.1,2,87,76,0
0.227,52.1,49.3,33,83,79,0
0.279,36.1,50.1,64,79,85,0
0.251,59.8,50.4,28,81,73,0
0.277,37.9,65.9,6,71,87,0
0.252,44.1,53.3,9,81,84,0
0.66,67.1,73.4,120,45,47,1
0.926,93.2,86.5,282,16,12,1
0.34,44.2,45.7,3,82,81,0
0.22,36.8,66.7,87,69,85,0
0.224,54.8,41.2,11,90,78,0
0.64,60.7,77.4,190,39,48,1
0.214,48.1,45.0,77,84,79,0
0.543,64.4,74.8,94,50,55,0
0.227,39.4,63.5,71,71,84,0
0.319,43.9,62.2,4,72,82,0
0.55,79.7,82.3,155,41,42,1
0.233,40.5,61.7,57,73,84,0
0.223,46.3,67.5,35,71,82,0
0.306,54.1,69.2,8,68,76,0
0.214,57.5,61.9,46,74,75,0
0.262,42.1,49.6,33,81,83,0
0.492,68.5,72.1,137,51,52,0
0.796,84.4,90.3,215,23,26,1
0.332,52.9,48.9,41,79,73,0
0.533,68.1,72.4,126,50,51,0
0.624,74.0,71.4,105,48,45,1
0.363,59.2,63.5,6,70,70,0
0.376,38.7,47.1,89,75,78,0
0.201,44.3,58.1,4,80,86,0
0.533,69.7,73.0,158,48,49,1
0.86,96.5,96.5,301,11,11,1
0.24,37.6,67.9,72,68,85,0
0.771,85.6,92.2,362,15,18,1
0.535,79.1,72.6,134,50,44,1
0.354,40.2,69.5,48,64,80,0
0.318,57.1,40.7,75,83,70,0
0.302,40.1,42.3,25,85,83,0
0.314,50.4,43.9,34,83,76,0
0.961,98.3,86.2,352,11,3,1
0.309,52.6,50.0,36,79,75,0
0.579,78.9,81.5,128,42,43,1
0.781,92.4,98.2,296,14,17,1
0.272,37.5,45.0,11,85,87,0
0.338,59.2,54.9,31,75,70,0
0.721,94.7,87.6,212,28,23,1
0.375,56.7,65.0,5,68,71,0
0.505,79.0,77.8,147,47,45,1
0.285,53.4,66.8,57,68,74,0
0.213,55.6,47.9,13,86,78,0
0.553,68.2,74.6,154,46,49,1
0.302,48.1,68.7,9,68,79,0
0.307,51.2,57.9,8,75,77,0
0.224,55.8,46.6,74,83,74,0
0.302,44.5,66.4,82,66,78,0
0.418,73.4,73.7,106,55,54,0
0.361,51.6,62.6,55,68,72,0
0.574,70.0,82.8,185,38,45,1
0.361,36.4,68.7,72,62,81,0
0.37,49.8,45.7,15,81,75,0
0.411,76.7,78.5,135,51,50,0
0.289,40.6,48.4,50,80,82,0
0.211,53.7,67.2,68,70,76,0
0.38,44.8,42.5,62,80,75,0
0.671,63.5,79.4,168,38,46,1
0.744,98.1,92.6,233,22,19,1
0.34,35.1,41.6,87,81,82,0
0.432,73.6,70.8,112,56,53,0
0.863,89.1,86.7,325,17,14,1
0.292,50.1,52.2,80,76,75,0
0.371,44.9,59.4,42,70,77,0
0.252,37.5,60.1,20,75,87,0
0.301,47.8,48.6,37,80,78,0
0.232,52.8,61.0,79,72,75,0
0.252,49.0,43.5,61,84,78,0
0.301,49.4,65.1,13,71,78,0
0.412,77.0,76.6,143,51,50,0
0.733,82.2,94.9,201,23,31,1
0.37,41.2,40.2,12,84,81,0
0.648,60.9,79.3,112,42,52,1
0.343,55.8,55.6,68,72,70,0
0.863,89.1,96.6,338,9,14,1
0.348,38.2,41.5,14,84,83,0
0.353,59.7,44.9,42,80,68,0
0.785,92.9,94.2,226,20,21,1
0.296,54.8,65.9,53,68,73,0
0.269,46.5,58.0,81,73,78,0
0.632,63.8,80.4,150,40,49,1
0.229,37.7,40.6,65,87,86,0
0.955,99.4,97.1,317,6,5,1
0.357,46.2,63.1,77,66,75,0
0.921,95.9,86.9,262,18,11,1
0.653,62.4,80.5,140,39,49,1
0.359,37.2,42.0,25,83,83,0
0.471,62.0,77.6,199,45,54,1
0.659,69.1,81.1,165,37,44,1
0.285,41.2,69.3,5,69,85,0
0.34,39.9,67.5,89,63,79,0
0.278,48.8,43.4,84,82,76,0
0.618,60.9,71.7,158,45,51,1
0.253,37.8,47.3,58,82,85,0
0.213,46.9,47.3,87,82,79,0
0.8,89.8,86.3,292,21,18,1
0.243,54.0,58.5,23,77,77,0
0.485,69.3,70.6,193,50,49,1
0.335,40.5,60.6,10,72,83,0
0.202,44.2,60.9,85,73,82,0
0.25,57.8,51.3,18,81,75,0
0.237,38.1,54.9,84,76,84,0
0.396,40.2,40.6,9,83,80,0
0.459,73.6,79.4,171,46,49,1
0.242,41.7,64.2,85,70,82,0
0.333,35.4,61.1,64,69,83,0
0.534,63.4,71.0,146,50,53,0
0.246,55.5,62.1,26,74,76,0
0.29,56.1,45.3,18,84,74,0
0.395,35.2,67.9,2,66,84,0
0.28,37.3,54.8,15,78,87,0
0.245,41.8,50.8,66,79,82,0
0.316,37.4,60.1,19,73,85,0
0.26,37.1,49.5,7,83,88,0
0.421,77.4,82.3,187,45,47,1
0.918,93.0,89.0,273,16,13,1
0.31,53.6,60.3,37,72,74,0
0.25,50.6,54.5,21,79,79,0
0.787,91.9,92.8,269,19,19,1
0.335,48.7,49.7,69,76,74,0
0.327,50.2,43.5,55,82,75,0
0.45,66.1,79.4,94,51,58,0
0.297,35.8,50.6,88,76,83,0
0.465,68.6,81.2,94,49,56,1
0.455,67.5,72.8,170,51,52,0
0.403,69.6,78.1,162,50,54,0
0.21,41.9,64.9,78,71,83,0
0.584,78.0,81.0,166,40,41,1
0.247,43.0,47.0,23,84,84,0
0.215,55.5,65.1,50,72,76,0
0.293,37.2,48.5,66,79,83,0
0.392,37.1,61.9,73,66,79,0
0.414,65.0,72.4,115,55,59,0
0.421,69.8,84.5,92,48,57,1
0.451,68.9,77.9,179,47,51,1
0.357,37.4,59.6,61,69,81,0
0.407,64.2,84.6,94,49,61,1
0.388,43.5,65.6,68,64,76,0
0.69,77.0,79.5,185,36,36,1
0.339,46.5,51.1,84,74,75,0
0.473,61.1,83.7,164,43,56,1
0.231,38.3,46.7,34,84,87,0
0.371,48.0,40.7,45,82,75,0
0.245,42.8,54.7,9,80,85,0
0.316,48.5,58.4,62,72,76,0
0.478,74.4,70.2,185,51,47,1
0.201,41.7,69.1,23,71,87,0
0.218,42.3,64.8,75,71,83,0
0.778,82.9,97.0,251,17,26,1
0.397,55.3,48.6,67,75,68,0
0.356,37.0,50.1,46,77,82,0
0.239,47.6,42.2,89,84,78,0
0.273,57.4,50.2,28,81,74,0
0.85,99.9,94.8,246,16,13,1
0.235,57.8,60.0,25,76,75,0
0.533,63.8,70.1,131,51,54,0
0.888,98.7,91.1,352,11,6,1
0.352,36.3,47.4,63,78,82,0
0.894,89.6,99.1,248,11,17,1
0.201,35.3,47.0,29,86,90,0
0.259,57.6,55.4,66,76,72,0
0.364,54.6,60.3,65,68,70,0
0.632,62.9,80.3,125,41,51,1
0.41,69.5,76.0,119,53,56,0
0.516,61.1,74.4,174,47,54,1
0.542,68.4,72.1,160,48,49,1
0.349,47.6,47.8,9,80,78,0
0.205,45.8,44.3,69,85,81,0
0.249,38.2,62.0,58,72,85,0
0.662,78.9,80.4,179,37,37,1
0.258,46.2,46.4,62,82,79,0
0.548,71.6,70.9,94,52,50,0
0.293,55.6,48.5,5,82,75,0
0.575,73.5,75.5,175,44,44,1
0.677,71.2,72.3,133,44,43,1
0.229,47.6,44.3,67,84,79,0
0.363,41.5,65.1,35,67,80,0
0.643,65.8,81.8,173,37,46,1
0.208,44.6,45.7,29,86,84,0
0.315,56.3,40.9,5,87,74,0
0.363,36.7,45.5,65,78,81,0
0.631,71.9,83.7,154,37,44,1
0.972,93.7,88.7,245,15,12,1
0.458,78.4,79.0,195,45,44,1
0.297,49.1,61.6,36,72,77,0
0.213,50.7,66.9,72,70,78,0
0.892,94.0,92.7,351,10,9,1
0.282,56.3,42.3,29,86,74,0
0.39,59.7,41.2,7,83,69,0
0.551,62.7,75.7,121,47,54,1
0.984,82.8,87.3,360,9,11,1
0.243,47.5,57.8,28,77,81,0
0.641,68.1,83.3,184,35,44,1
0.369,41.0,57.7,83,69,77,0
0.807,98.7,94.4,201,20,17,1
0.501,67.2,73.2,194,47,49,1
0.359,54.6,49.4,40,77,71,0
0.897,85.6,88.8,256,18,19,1
0.477,61.4,82.5,98,47,59,1
0.285,52.0,52.2,7,80,78,0
0.283,42.4,62.1,30,72,82,0
0.729,98.1,91.5,305,20,15,1
0.59,61.2,75.4,135,45,53,1
0.39,53.3,41.5,20,82,72,0
0.25,56.0,51.8,72,78,73,0
0.646,65.7,75.0,92,46,50,1
0.329,35.2,51.5,25,78,85,0
0.302,45.8,55.4,7,77,81,0
0.213,57.4,68.5,44,70,75,0
0.25,49.7,64.6,24,72,80,0
0.274,46.9,46.5,17,84,81,0
0.277,56.8,69.4,13,69,75,0
0.702,89.9,99.0,226,20,26,1
0.952,90.7,90.2,315,11,10,1
0.269,36.1,66.8,89,66,84,0
0.246,51.3,41.5,87,84,75,0
0.324,44.9,49.4,34,79,79,0
0.391,38.5,46.4,3,80,82,0
0.305,43.3,60.3,81,70,78,0
0.386,45.4,48.1,16,78,77,0
0.222,37.2,41.9,9,89,89,0
0.496,76.2,81.2,133,45,48,1
0.672,67.8,77.4,159,39,44,1
0.409,76.3,80.7,108,51,52,0
0.228,42.7,56.3,84,75,82,0
0.338,55.9,55.2,20,75,73,0
0.494,64.4,77.2,99,50,57,0
0.958,91.6,89.2,357,9,7,1
0.486,63.8,84.9,191,40,52,1
0.298,37.4,65.2,69,68,83,0
0.256,47.4,68.6,16,70,81,0
0.259,58.0,60.8,61,72,72,0
0.381,55.6,53.7,50,73,69,0
0.602,67.0,81.6,126,41,49,1
0.398,54.1,59.5,43,69,70,0
0.84,93.8,86.6,342,17,11,1
0.915,90.3,86.4,309,16,12,1
0.279,37.9,41.3,3,88,87,0
0.206,59.5,50.2,33,83,75,0
0.613,75.9,83.2,97,41,45,1
0.27,43.8,60.4,31,74,82,0
0.386,59.2,46.8,69,76,66,0
0.358,56.5,69.3,19,65,71,0
0.261,35.5,62.0,25,73,88,0
0.303,39.7,48.8,56,79,82,0
0.384,39.4,40.8,77,80,78,0
0.201,54.7,41.8,12,90,79,0
0.478,61.8,71.0,146,52,56,0
0.352,43.2,56.4,35,73,79,0
0.397,39.6,63.3,23,67,80,0
0.383,42.5,67.3,3,66,80,0
0.369,48.0,43.6,61,80,74,0
0.239,43.2,60.1,5,77,85,0
0.245,39.3,41.2,16,89,87,0
0.313,53.7,49.3,6,81,76,0
0.51,66.6,84.3,118,44,54,1
0.293,43.1,44.1,23,84,82,0
0.429,62.4,80.7,198,45,55,1
0.527,72.4,74.1,171,47,47,1
0.294,39.9,57.3,17,76,84,0
0.338,40.5,48.9,83,76,79,0
0.223,35.7,47.0,27,85,89,0
0.238,37.5,54.8,2,81,89,0
0.41,66.3,82.5,130,48,57,1
0.675,79.4,75.9,141,41,38,1
0.55,74.0,71.2,158,49,45,1
0.268,40.2,52.2,33,79,84,0
0.272,35.9,59.9,27,74,87,0
0.545,77.7,84.4,152,40,44,1
0.355,38.4,63.7,58,67,80,0
0.371,37.7,58.1,36,71,82,0
0.326,57.6,53.0,84,74,68,0
0.635,78.3,76.0,138,43,40,1
0.335,47.3,42.9,73,81,75,0
0.222,50.4,56.1,63,77,78,0
0.977,84.8,94.7,298,8,14,1
0.211,54.7,54.2,27,81,78,0
0.211,55.7,40.1,4,91,79,0
0.617,67.5,80.2,141,41,48,1
0.204,43.3,47.3,18,86,86,0
0.347,56.4,54.7,40,74,71,0
0.403,70.8,75.8,180,50,52,0
0.398,39.6,61.7,82,65,77,0
0.257,35.9,43.7,48,85,87,0
0.216,43.9,62.9,26,75,84,0
0.449,61.5,73.5,158,51,57,0
0.741,95.7,99.0,325,13,15,1
0.518,69.0,71.1,110,52,52,0
0.324,59.8,51.0,39,78,70,0
0.282,46.8,46.0,53,82,79,0
0.375,49.7,47.4,54,77,73,0
0.329,50.8,49.9,70,76,73,0
0.216,36.7,64.2,64,72,87,0
0.329,41.5,57.6,19,74,82,0
0.213,48.1,53.7,2,82,83,0
0.748,93.2,90.2,258,22,20,1
0.218,48.0,58.6,88,74,78,0
0.454,70.8,71.6,174,51,50,0
0.855,80.3,98.7,346,8,19,1
0.44,66.0,84.3,97,48,58,1
0.37,56.7,61.2,22,70,71,0
0.56,71.4,77.0,117,47,49,1
0.476,72.2,76.2,111,51,52,0
0.264,55.0,62.9,12,73,76,0
0.359,45.3,48.0,85,76,75,0
0.307,44.1,50.7,43,78,80,0
0.387,45.7,49.6,78,74,74,0
0.368,55.3,57.0,35,72,71,0
0.556,61.9,70.0,137,50,54,0
0.339,45.8,51.5,66,75,76,0
0.246,57.2,57.6,15,78,76,0
0.467,70.8,80.7,185,44,49,1
0.536,75.7,71.4,186,47,43,1
0.444,69.9,83.2,193,43,50,1
